Wall time,Step,Value
1749249892.2904668,2224640,1000.0
1749249954.9538116,2259968,918.0
1749249956.5472088,2260864,150.0
1749249960.6326478,2263168,404.0
1749250006.3973246,2289024,765.0
1749250011.1844058,2291712,626.0
1749250051.0270987,2314112,960.0
1749250052.4059443,2314880,738.0
1749250098.3262515,2340736,977.0
1749250099.6870997,2341504,749.0
1749250120.6416683,2353280,1000.0
1749250125.2047462,2355840,550.0
1749250143.1455898,2365952,1000.0
1749250172.9199107,2382720,894.0
1749250177.4913185,2385280,342.0
1749250234.1065772,2417152,770.0
1749250242.0405126,2421632,681.0
1749250264.912107,2434560,280.0
1749250335.011612,2473984,1000.0
1749250352.0436964,2483584,885.0
1749250362.71257,2489600,1000.0
1749250407.3877523,2514816,861.0
1749250407.8496747,2515072,802.0
1749250413.311371,2518144,856.0
1749250415.3577673,2519296,1000.0
1749250467.7712474,2548864,163.0
1749250490.4197989,2561664,1000.0
1749250492.0095093,2562560,1000.0
1749250492.471817,2562816,549.0
1749250614.600624,2631680,1000.0
1749250633.6592848,2642432,232.0
1749250650.5303826,2651904,797.0
1749250661.8964434,2658304,570.0
1749250674.1774669,2665216,316.0
1749250681.2196455,2669184,602.0
1749250685.5492492,2671616,930.0
1749250698.4767203,2678912,939.0
1749250723.9665546,2693248,874.0
1749250735.5996451,2699776,534.0
1749250748.3645105,2706944,1000.0
1749250752.9022555,2709504,1000.0
1749250758.1212401,2712448,1000.0
1749250794.6106203,2733056,696.0
1749250801.4230952,2736896,738.0
1749250830.2711663,2753152,1000.0
1749250880.8819985,2781696,1000.0
1749250889.049181,2786304,1000.0
1749250919.8452358,2803712,1000.0
1749250929.3743508,2809088,336.0
1749250977.3556473,2836096,701.0
1749251030.190794,2865920,869.0
1749251072.012529,2889472,1000.0
1749251086.8369496,2897792,943.0
1749251160.3314373,2939264,1000.0
1749251165.5401769,2942208,48.0
1749251177.1012414,2948736,1000.0
1749251183.2467685,2952192,1000.0
1749251193.05264,2957696,759.0
1749251198.706145,2960896,956.0
1749251224.2889225,2975360,1000.0
1749260415.5058763,8154368,1000.0
1749260653.1208873,8288256,1000.0
1749260756.080987,8346240,1000.0
1749260757.4595327,8347008,1000.0
1749260881.431501,8416640,1000.0
1749260945.8284385,8452992,1000.0
1749261108.160065,8544384,1000.0
1749261564.238227,8801408,1000.0
1749261565.3811061,8802048,1000.0
1749261575.8200963,8807936,1000.0
1749261679.49346,8866432,1000.0
1749261789.68672,8928640,1000.0
1749261794.200723,8931200,1000.0
1749261893.627696,8987136,1000.0
1749261902.9393215,8992384,1000.0
1749262001.923086,9048064,1000.0
1749262016.7285426,9056384,1000.0
1749262017.8652384,9057024,1000.0
1749262020.155986,9058304,1000.0
1749262051.4438224,9075968,185.0
1749262094.4086123,9100160,1000.0
1749262113.5328681,9110912,1000.0
1749262123.3280747,9116416,1000.0
1749262125.8158817,9117824,1000.0
1749262244.6849256,9184640,1000.0
1749262322.1851218,9228160,1000.0
1749262353.5158026,9245824,1000.0
1749262370.3526785,9255296,1000.0
1749262482.498605,9318528,1000.0
1749262508.893265,9333376,213.0
1749262513.2010753,9335808,1000.0
1749262549.2756062,9356160,1000.0
1749262576.9374316,9371776,1000.0
1749262578.0659897,9372416,1000.0
1749262580.5492127,9373824,1000.0
1749262592.5316248,9380608,1000.0
1749262681.8749583,9431040,1000.0
1749262712.0051818,9448064,1000.0
1749262734.9568405,9460992,1000.0
1749262742.4353483,9465216,1000.0
1749262763.0881493,9476864,1000.0
1749262807.0759966,9501696,1000.0
1749262822.0248678,9510144,1000.0
1749262824.070404,9511296,1000.0
1749262824.2934778,9511424,1000.0
1749262915.8739083,9563008,1000.0
1749262927.9229915,9569792,1000.0
1749262939.0774302,9576064,1000.0
1749262941.3488727,9577344,1000.0
1749262967.1059868,9591808,1000.0
1749263040.6654341,9633280,1000.0
1749263260.730284,9757312,496.0
1749263260.9526067,9757440,492.0
1749263271.6662633,9763456,1000.0
1749263272.1284444,9763712,1000.0
1749263273.4980962,9764480,1000.0
1749263280.3414743,9768320,1000.0
1749263281.934565,9769216,1000.0
1749263484.0052009,9883136,1000.0
1749263484.45036,9883392,1000.0
1749263486.0437856,9884288,1000.0
1749263506.2221968,9895680,1000.0
1749263524.139526,9905792,193.0
1749263719.4003108,10015616,1000.0
1749263720.7791173,10016384,1000.0
1749263721.0016966,10016512,1000.0
1749263801.5203178,10061696,1000.0
1749263941.0644624,10140288,1000.0
1749263943.5736144,10141696,1000.0
1749263951.948135,10146432,1000.0
1749263962.4025006,10152320,1000.0
1749263965.1109421,10153856,1000.0
1749263998.9802716,10172928,1000.0
1749265659.4304266,11107968,1000.0
1749265785.3488708,11179136,586.0
1749265881.3674436,11233280,1000.0
1749265882.0443351,11233664,1000.0
1749265883.6216404,11234560,1000.0
1749265887.7272174,11236864,1000.0
1749266006.9106314,11304064,1000.0
1749266107.3628898,11360640,1000.0
1749266109.8737538,11362048,1000.0
1749266110.319151,11362304,1000.0
1749266110.780429,11362560,1000.0
1749267916.702932,12380288,1000.0
1749267951.1913135,12399744,1000.0
1749267951.6451764,12400000,892.0
1749267953.4540906,12401024,844.0
1749267968.1786692,12409344,227.0
1749267972.9791026,12412032,299.0
1749268140.4441123,12506496,1000.0
1749268178.0168488,12527616,1000.0
1749268214.2720394,12547968,1000.0
1749268367.9807491,12634368,1000.0
1749268369.5639718,12635264,1000.0
1749268372.7134168,12637056,1000.0
1749268418.0757926,12662656,1000.0
1749268422.3846915,12665088,1000.0
1749268630.4190338,12782464,1000.0
1749268650.2808235,12793600,1000.0
1749268653.9193296,12795648,1000.0
1749268664.6626265,12801664,1000.0
1749268666.2552536,12802560,1000.0
1749268697.2002718,12819968,1000.0
